ranger2_index	response_pred
ranger2_1	1
ranger2_1001	1
ranger2_1003	1
ranger2_1004	1
ranger2_1005	1
ranger2_1006	1
ranger2_1007	1
ranger2_1008	1
ranger2_1009	3
ranger2_1010	1
ranger2_1011	1
ranger2_1012	1
ranger2_1013	1
ranger2_1014	1
ranger2_1015	1
ranger2_1016	1
ranger2_1017	1
ranger2_1018	1
ranger2_1019	1
ranger2_1020	1
ranger2_1021	1
ranger2_1022	1
ranger2_1023	1
ranger2_1024	1
ranger2_1025	3
ranger2_1026	2
ranger2_1028	1
ranger2_1029	1
ranger2_1030	1
ranger2_1031	1
ranger2_1032	1
ranger2_1033	1
ranger2_1036	1
ranger2_1037	1
ranger2_1038	1
ranger2_1039	1
ranger2_104	2
ranger2_1042	1
ranger2_1043	1
ranger2_1046	1
ranger2_1047	1
ranger2_1049	1
ranger2_1050	1
ranger2_1052	1
ranger2_1053	2
ranger2_1054	1
ranger2_1057	1
ranger2_1058	1
ranger2_1059	1
ranger2_106	1
ranger2_1060	1
ranger2_1061	3
ranger2_1062	1
ranger2_1066	1
ranger2_1067	1
ranger2_1069	1
ranger2_1072	1
ranger2_1091	1
ranger2_11	1
ranger2_110	1
ranger2_111	1
ranger2_1114	1
ranger2_1129	1
ranger2_1133	1
ranger2_1142	1
ranger2_1143	1
ranger2_1149	2
ranger2_1158	1
ranger2_1161	1
ranger2_1164	1
ranger2_1166	1
ranger2_1170	1
ranger2_1175	3
ranger2_119	1
ranger2_1192	3
ranger2_1194	1
ranger2_1199	1
ranger2_1203	1
ranger2_1218	1
ranger2_1219	1
ranger2_1230	1
ranger2_1236	1
ranger2_1239	1
ranger2_1241	1
ranger2_1242	1
ranger2_1243	1
ranger2_1248	1
ranger2_1259	1
ranger2_1261	1
ranger2_1262	1
ranger2_1264	3
ranger2_1268	1
ranger2_127	1
ranger2_133	1
ranger2_134	1
ranger2_135	1
ranger2_136	1
ranger2_1371	1
ranger2_1372	1
ranger2_1373	3
ranger2_1375	3
ranger2_1377	1
ranger2_1378	1
ranger2_140	1
ranger2_147	1
ranger2_1494	1
ranger2_1495	3
ranger2_1498	1
ranger2_150	1
ranger2_1502	1
ranger2_151	1
ranger2_152	1
ranger2_1526	1
ranger2_1527	1
ranger2_1529	1
ranger2_153	1
ranger2_154	1
ranger2_155	1
ranger2_156	1
ranger2_157	1
ranger2_158	1
ranger2_159	1
ranger2_163	1
ranger2_164	1
ranger2_165	1
ranger2_166	1
ranger2_167	2
ranger2_17	1
ranger2_170	1
ranger2_171	1
ranger2_172	1
ranger2_173	1
ranger2_175	1
ranger2_176	1
ranger2_177	1
ranger2_178	2
ranger2_179	1
ranger2_180	1
ranger2_182	1
ranger2_184	1
ranger2_185	1
ranger2_186	1
ranger2_190	2
ranger2_192	1
ranger2_193	1
ranger2_194	1
ranger2_196	1
ranger2_197	1
ranger2_199	1
ranger2_200	1
ranger2_201	1
ranger2_202	3
ranger2_203	1
ranger2_204	1
ranger2_205	1
ranger2_206	1
ranger2_207	1
ranger2_208	3
ranger2_211	1
ranger2_219	1
ranger2_221	2
ranger2_222	1
ranger2_223	1
ranger2_224	1
ranger2_225	1
ranger2_226	1
ranger2_228	1
ranger2_229	2
ranger2_230	3
ranger2_231	1
ranger2_235	1
ranger2_238	1
ranger2_245	1
ranger2_249	2
ranger2_252	1
ranger2_253	1
ranger2_254	1
ranger2_255	1
ranger2_256	1
ranger2_257	2
ranger2_258	1
ranger2_260	1
ranger2_261	1
ranger2_262	2
ranger2_263	1
ranger2_265	1
ranger2_266	1
ranger2_268	3
ranger2_269	1
ranger2_271	1
ranger2_272	1
ranger2_273	1
ranger2_274	1
ranger2_275	1
ranger2_276	1
ranger2_277	1
ranger2_279	2
ranger2_281	1
ranger2_282	1
ranger2_283	1
ranger2_286	1
ranger2_287	1
ranger2_288	2
ranger2_29	1
ranger2_290	1
ranger2_291	1
ranger2_292	1
ranger2_293	1
ranger2_294	2
ranger2_295	3
ranger2_298	3
ranger2_299	1
ranger2_3	2
ranger2_30	1
ranger2_300	1
ranger2_301	1
ranger2_302	1
ranger2_303	2
ranger2_304	2
ranger2_305	2
ranger2_306	1
ranger2_308	1
ranger2_309	1
ranger2_310	2
ranger2_312	1
ranger2_32	1
ranger2_326	1
ranger2_328	2
ranger2_329	1
ranger2_330	1
ranger2_331	1
ranger2_332	1
ranger2_333	1
ranger2_34	1
ranger2_341	1
ranger2_344	1
ranger2_345	1
ranger2_346	1
ranger2_35	1
ranger2_37	1
ranger2_38	1
ranger2_41	1
ranger2_45	1
ranger2_5	1
ranger2_51	1
ranger2_52	1
ranger2_53	2
ranger2_54	1
ranger2_55	1
ranger2_56	1
ranger2_59	1
ranger2_6	1
ranger2_60	1
ranger2_62	1
ranger2_63	1
ranger2_64	1
ranger2_71	1
ranger2_83	1
ranger2_86	1
ranger2_87	1
ranger2_88	2
ranger2_89	1
ranger2_9	1
ranger2_91	1
ranger2_94	1
